iter	Passed	Remaining
423	2330	3165
424	2336	3161
425	2343	3157
426	2349	3152
427	2357	3150
428	2362	3144
429	2368	3139
430	2372	3132
431	2378	3127
432	2384	3122
433	2390	3116
434	2396	3113
435	2402	3108
436	2407	3101
437	2413	3096
438	2418	3090
439	2423	3084
440	2428	3077
441	2433	3071
442	2436	3063
443	2441	3057
444	2445	3050
445	2450	3043
446	2454	3036
447	2458	3029
448	2462	3022
449	2466	3014
450	2471	3009
451	2476	3002
452	2481	2995
453	2486	2989
454	2490	2983
455	2494	2975
456	2498	2968
457	2501	2960
458	2506	2954
459	2510	2947
460	2520	2947
461	2525	2941
462	2530	2934
463	2535	2928
464	2539	2921
465	2545	2916
466	2550	2911
467	2556	2905
468	2561	2900
469	2566	2894
470	2572	2888
471	2576	2882
472	2581	2876
473	2586	2870
474	2590	2863
475	2595	2857
476	2599	2850
477	2605	2845
478	2611	2840
479	2615	2833
480	2619	2826
481	2623	2819
482	2627	2812
483	2631	2805
484	2635	2798
485	2640	2792
486	2644	2785
487	2649	2779
488	2653	2772
489	2658	2767
490	2663	2761
491	2668	2755
492	2673	2749
493	2681	2746
494	2685	2740
495	2690	2734
496	2695	2727
497	2699	2721
498	2703	2714
499	2708	2708
500	2712	2701
501	2716	2694
502	2720	2687
503	2725	2682
504	2730	2676
505	2735	2670
506	2741	2665
507	2747	2660
508	2754	2657
509	2761	2653
510	2769	2650
511	2784	2654
512	2792	2651
513	2801	2648
514	2807	2644
515	2813	2639
516	2818	2633
517	2824	2628
518	2828	2621
519	2833	2615
520	2839	2610
521	2848	2608
522	2856	2605
523	2861	2599
524	2867	2594
525	2874	2590
526	2879	2584
527	2885	2579
528	2891	2574
529	2897	2569
530	2905	2565
531	2910	2560
532	2918	2557
533	2924	2551
534	2930	2546
535	2935	2540
536	2939	2534
537	2944	2528
538	2949	2522
539	2953	2516
540	2960	2511
541	2965	2505
542	2969	2499
543	2975	2494
544	2979	2487
545	2985	2482
546	2989	2475
547	2997	2472
548	3003	2467
549	3009	2462
550	3013	2455
551	3018	2449
552	3024	2444
553	3030	2439
554	3035	2433
555	3041	2428
556	3045	2422
557	3051	2416
558	3055	2410
559	3060	2405
560	3064	2398
561	3070	2392
562	3074	2386
563	3079	2380
564	3084	2374
565	3089	2368
566	3093	2362
567	3097	2355
568	3103	2351
569	3108	2345
570	3113	2339
571	3119	2333
572	3123	2327
573	3128	2322
574	3134	2316
575	3138	2310
576	3142	2303
577	3146	2297
578	3150	2290
579	3154	2284
580	3158	2277
581	3162	2271
582	3167	2265
583	3171	2258
584	3174	2252
585	3179	2246
586	3184	2240
587	3189	2235
588	3194	2228
589	3198	2222
590	3204	2217
591	3210	2212
592	3215	2206
593	3220	2200
594	3225	2195
595	3230	2189
596	3234	2183
597	3240	2178
598	3244	2172
599	3249	2166
600	3257	2162
601	3261	2156
602	3264	2149
603	3269	2143
604	3273	2137
605	3281	2133
606	3285	2126
607	3288	2120
608	3292	2113
609	3296	2107
610	3299	2100
611	3303	2094
612	3308	2088
613	3312	2082
